text,image_path,emotion,intensity,intent
This is one of my best days in months.,data/presentation_images/happy_celebration_000.png,0,0.529,1
I am proud of myself and grateful for this moment.,data/presentation_images/happy_celebration_001.png,0,0.41,1
I feel amazing today and everything is finally working out.,data/presentation_images/happy_celebration_002.png,0,0.479,1
I feel amazing today and everything is finally working out.,data/presentation_images/happy_celebration_003.png,0,0.296,1
I feel amazing today and everything is finally working out.,data/presentation_images/happy_celebration_004.png,0,0.514,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_005.png,0,0.165,1
I am proud of myself and grateful for this moment.,data/presentation_images/happy_celebration_006.png,0,0.317,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_007.png,0,0.186,1
I am proud of myself and grateful for this moment.,data/presentation_images/happy_celebration_008.png,0,0.174,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_009.png,0,0.2,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_010.png,0,0.402,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_011.png,0,0.529,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_012.png,0,0.384,1
I feel amazing today and everything is finally working out.,data/presentation_images/happy_celebration_013.png,0,0.541,1
I feel amazing today and everything is finally working out.,data/presentation_images/happy_celebration_014.png,0,0.373,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_015.png,0,0.266,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_016.png,0,0.366,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_017.png,0,0.273,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_018.png,0,0.191,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_019.png,0,0.406,1
This is one of my best days in months.,data/presentation_images/happy_celebration_020.png,0,0.189,1
I feel amazing today and everything is finally working out.,data/presentation_images/happy_celebration_021.png,0,0.376,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_022.png,0,0.232,1
I achieved my goal and I feel excited and thankful.,data/presentation_images/happy_celebration_023.png,0,0.321,1
This is one of my best days in months.,data/presentation_images/happy_celebration_024.png,0,0.336,1
I am proud of myself and grateful for this moment.,data/presentation_images/happy_celebration_025.png,0,0.295,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_026.png,0,0.468,1
I got selected and I am so happy right now.,data/presentation_images/happy_celebration_027.png,0,0.183,1
This is one of my best days in months.,data/presentation_images/happy_celebration_028.png,0,0.36,1
This is one of my best days in months.,data/presentation_images/happy_celebration_029.png,0,0.442,1
This is one of my best days in months.,data/presentation_images/happy_celebration_030.png,0,0.394,1
